what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307398891625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307398926575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307400017026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307400039767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402252519
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307402256534
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307402262257
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1307402271494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402280707
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402285084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402294056
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402303524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1307402438680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1307402447118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402615257
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.showInformation",1307402615282
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402634483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307402683780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407323276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407329934
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407330012
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1307407345639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407377141
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407377145
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1307407377150
